Minutes after start,W,compressor time (m:s),,,,temp in fridge,temp in water,temp in air
0,,,,,,13.07,17.44,19.66
5,,,,,,9.26,15.98,19.52
10,,,,,,9.11,15,19.71
15,,,,,,9.16,14.41,19.47
20,58,8:26,,,,8.96,13.68,19.76
25,47,,,,,9.11,13.44,19.33
30,,,,,,8.57,12.8,19.71
35,,,,,,8.86,12.02,19.66
40,,,,,,8.57,11.48,19.71
45,,,,,,8.62,11.24,19.85
50,60,8:08,,,,8.82,10.94,19.33
55,47,,,,,8.82,10.55,19.85
60,,,,,,8.18,10.21,19.61
65,,,,,,8.13,9.97,19.04
70,,,,,,8.28,9.43,19.66
75,,,,,,8.08,9.38,19.9
80,,,,,,8.13,9.23,19.09
85,59,5:48 (cause got to 90 minute mark),,,,8.52,9.04,19.66
90,,,,,,7.98,8.74,19.37
