Minutes after start,W,kwh,v,hz,,temp in fridge,temp in water,temp in air
0,0,0,121.3,60,,11.65,19.41,19.66
5,47.4,0,121.6,60,,11.75,19.11,19.61
10,0,0,121.6,60,,10.97,18.13,19.47
15,0,0,121.9,60,,10.77,17.35,19.23
20,0,0,121.6,60,,10.53,16.66,19.61
25,58.9,0,121.6,60,,10.58,15.69,19.52
30,48.5,0,121.6,60,,10.18,15.44,19.42
35,0,0.01,121.9,60,,9.55,14.85,19.42
40,0,0.01,121.9,59.9,,9.6,14.41,19.33
45,0,0.01,122.1,60,,9.5,13.78,19.42
50,0,0.01,121.8,60,,9.6,13.39,19.33
55,0,0.01,121.4,60,,9.06,13.14,19.28
60,0,0.01,121.8,60,,8.86,12.75,19.42
65,0,0.01,121.8,60,,8.77,12.36,19.23
70,0,0.01,121.8,60,,8.82,12.02,19.28
75,0,0.01,121.8,60,,8.96,11.68,19.04
80,59,0.01,121.6,60,,9.11,11.38,19.13
85,48.4,0.02,121.8,60,,8.62,11.34,19.13
90,0,0.02,122.1,60,,8.28,11.04,19.37
